member,generation,proxy_metric,reference_metric,proxy_raw_delta,reference_raw_delta,raw_sign_disagrees,proxy_ema_delta,reference_ema_delta,proxy_signal,reference_signal,direction_disagrees,proxy_paired_action,reference_paired_action,paired_action_disagrees,actual_shadow_state,actual_shadow_action
fixed_lr_4p5e-6,34,0.3868268360122671,0.4091732320942788,-0.0012262840575108513,-0.002062750241922817,False,-0.002956743743524337,-0.0018531814845075822,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_4p5e-6,39,0.384191951710045,0.4077253743990017,-0.0026348843022220847,-0.0014478576952771105,False,-0.002795814022873211,-0.0016505195898923186,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_4p5e-6,44,0.3850686487592986,0.40731765358610666,0.000876697049253583,-0.00040772081289502937,True,-0.0009595584868097862,-0.001029120201393674,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_4p5e-6,49,0.3812162033184875,0.4061427617899966,-0.003852445440811092,-0.001174891796110078,False,-0.002406001963810467,-0.001102005998751876,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_4p5e-6,54,0.3795658243355888,0.4050081487695897,-0.0016503789828987148,-0.001134613020406905,False,-0.002028190473354563,-0.0011183095095794182,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_4p5e-6,59,0.37683531570142387,0.4051302630650469,-0.0027305086341649076,0.00012211429545722075,True,-0.0023793495537597353,-0.0004980976070610987,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_4p5e-6,64,0.37622517733670136,0.4049743417136777,-0.0006101383647225123,-0.0001559213513692148,False,-0.0014947439592411516,-0.0003270094792151568,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_4p5e-6,69,0.37421670337455765,0.40435610319299664,-0.0020084739621437087,-0.000618238520681047,False,-0.00175160896069243,-0.00047262399994807414,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_4p5e-6,74,0.3708892555033181,0.40199198708357076,-0.003327447871239564,-0.0023641161094258845,False,-0.002539528415965997,-0.0014183700546869793,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_4p5e-6,79,0.3682261614383037,0.40010375053286096,-0.0026630940650143597,-0.0018882365507097987,False,-0.0026013112404901784,-0.0016533033026983612,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_4p5e-6,84,0.3681463687573395,0.4020605171583276,-7.97926809641969e-05,0.0019567666254666216,True,-0.0013405519607271876,0.00015173166138410243,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_4p5e-6,89,0.3700908402865101,0.4001937719804532,0.0019444715291705994,-0.0018667451778743849,True,0.0003019597842217059,-0.0008575067582451412,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_4p5e-6,94,0.36716411677544747,0.39848192447639647,-0.0029267235110626566,-0.0017118475040567294,False,-0.0013123818634204754,-0.0012846771311509353,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,4,0.42538095423563926,0.43811677480814215,-0.01945272403143805,-0.018588042976214858,False,-0.009726362015719026,-0.009294021488107429,UP,UP,False,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,9,0.41011101948290996,0.4243237473533672,-0.015269934752729308,-0.013793027454774953,False,-0.012498148384224195,-0.011543524471441191,UP,UP,False,UP,UP,False,flat,keep
fixed_lr_6e-6,14,0.39743719373730924,0.41427774278611407,-0.01267382574560072,-0.01004600456725313,False,-0.01258598706491243,-0.010794764519347189,UP,UP,False,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,19,0.3905397257933797,0.4086394694571269,-0.006897467943929536,-0.005638273328987142,False,-0.009741727504420983,-0.008216518924167138,UP,UP,False,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,24,0.38523571761979936,0.41001246075062997,-0.0053040081735803435,0.0013729912935030453,True,-0.007522867839000635,-0.003421763815332046,UP,FLAT,True,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,29,0.3846560622846599,0.4078763916329897,-0.0005796553351394285,-0.002136069117640249,False,-0.004051261587070032,-0.0027789164664861477,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,34,0.3851193929645261,0.4051591507211135,0.0004633306798661474,-0.0027172409118761953,True,-0.0017939654536019978,-0.0027480786891811992,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,39,0.37698950911610796,0.406983942725712,-0.008129883848418118,0.0018247920045984523,True,-0.00496192465101003,-0.0004616433422913735,UP,FLAT,True,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,44,0.3761279078951999,0.4058264109121439,-0.0008616012209080592,-0.0011575318135680912,False,-0.002911762935959017,-0.0008095875779297046,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,49,0.37778570002900297,0.4045042078302473,0.001657792133803071,-0.0013222030818965669,True,-0.000626985401077973,-0.0010658953299131357,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,54,0.3705491376994842,0.40356054211130277,-0.0072365623295187476,-0.000943665718944553,False,-0.003931773865298416,-0.0010047805244288166,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,59,0.3688845528602378,0.4006999620104303,-0.001664584839246419,-0.0028605801008724785,False,-0.0027981793522723897,-0.001932680312650703,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,64,0.36787714822796047,0.40074269896978526,-0.0010074046322773311,4.2736959354972015e-05,True,-0.0019027919922748882,-0.0009449716766478655,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,69,0.36876623634562233,0.4006652784690661,0.0008890881176618626,-7.742050071918305e-05,True,-0.000506851937306485,-0.0005111960886834965,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,74,0.3657736163819825,0.398257982150948,-0.0029926199636398088,-0.0024072963181180906,False,-0.0017497359504731191,-0.0014592462034008213,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,79,0.3669914665345355,0.3973461933566036,0.0012178501525529906,-0.0009117887943443925,True,-0.00026594289896009204,-0.0011855174988725792,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,84,0.3667550143397853,0.39624004439408295,-0.00023645219475021406,-0.0011061489625206478,False,-0.00025119754685515305,-0.0011458332306966135,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,89,0.36510881937833956,0.3937373688513695,-0.001646194961445746,-0.0025026755427134395,False,-0.0009486962541504496,-0.0018242543867050265,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_6e-6,94,0.3680163126781797,0.3937057847681243,0.002907493299840136,-3.158408324521744e-05,True,0.0009793985228448432,-0.0009279192349751497,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,4,0.4232145724600798,0.43334402463750954,-0.021619105806997496,-0.02336079314684747,False,-0.01080955290349872,-0.011680396573423735,UP,UP,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,9,0.401189951852818,0.41585683495627795,-0.02202462060726179,-0.017487189681231585,False,-0.016417086755380284,-0.01458379312732766,UP,UP,False,UP,UP,False,flat,keep
fixed_lr_7p5e-6,14,0.3943208222668793,0.41195259674627016,-0.006869129585938716,-0.0039042382100077933,False,-0.0116431081706595,-0.009244015668667727,UP,UP,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,19,0.3895568084709362,0.4100908327191731,-0.004764013795943101,-0.0018617640270970348,False,-0.008203560983301272,-0.005552889847882381,UP,UP,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,24,0.38482808373283933,0.4054728791344573,-0.004728724738096879,-0.004617953584715839,False,-0.006466142860699131,-0.00508542171629911,UP,UP,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,29,0.383041692185315,0.40574761335229464,-0.0017863915475243575,0.00027473421783735796,True,-0.004126267204111689,-0.0024053437492308483,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,34,0.3766777814289962,0.40435313313322113,-0.006363910756318758,-0.0013944802190735128,False,-0.005245088980215251,-0.0018999119841521805,UP,FLAT,True,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,39,0.3757885140022312,0.4045942061428089,-0.0008892674267650391,0.00024107300958775557,True,-0.0030671782034901174,-0.0008294194872822125,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,44,0.37286383167090753,0.4017027238234684,-0.002924682331323647,-0.0028914823193404993,False,-0.00299593026740691,-0.0018604509033113836,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,49,0.3706241059890267,0.40197320414348114,-0.0022397256818808553,0.0002704803200127559,True,-0.0026178279746438826,-0.0007949852916492861,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,54,0.36905410996370464,0.40115241592187256,-0.0015699960253220402,-0.0008207882216085816,False,-0.002093911999982989,-0.0008078867566289616,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,59,0.3713161738187584,0.4002832143405384,0.0022620638550537864,-0.0008692015813341891,True,8.407592753545412e-05,-0.0008385441689816031,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,64,0.37059274245871465,0.3967601071305232,-0.0007234313600437692,-0.0035231072100151972,False,-0.0003196777162541853,-0.0021808256894984,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,69,0.3696704063236463,0.39556881749186423,-0.000922336135068369,-0.0011912896386589433,False,-0.0006210069256612494,-0.001686057664078644,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,74,0.3683430330882309,0.39383485233116095,-0.0013273732354153744,-0.001733965160703288,False,-0.0009741900805383397,-0.001710011412390966,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,79,0.36869114937750463,0.3938077541885398,0.0003481162892737255,-2.7098142621140298e-05,True,-0.00031303689563233483,-0.0008685547775060254,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,84,0.36900062703249503,0.39403000405087507,0.0003094776549903977,0.00022224986233526645,False,-1.7796203209408112e-06,-0.0003231524575854072,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,89,0.36684884791848643,0.39329102814025785,-0.0021517791140086007,-0.0007389759106172233,False,-0.0010767793671647707,-0.0005310641841013153,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_7p5e-6,94,0.36624548039610405,0.39387880453104196,-0.0006033675223823809,0.0005877763907841116,True,-0.0008400734447736036,2.8356103341398153e-05,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,4,0.4189792941155966,0.4328235790348571,-0.025854384151480725,-0.023881238749499933,False,-0.012927192075740335,-0.011940619374749994,UP,UP,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,9,0.39769273785298553,0.41601534878160196,-0.021286556262611056,-0.01680823025325512,False,-0.017106874169175723,-0.014374424814002529,UP,UP,False,UP,UP,False,flat,keep
fixed_lr_9e-6,14,0.3909464979666846,0.40813772442315965,-0.006746239886300909,-0.007877624358442303,False,-0.011926557027738316,-0.011126024586222416,UP,UP,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,19,0.3878626621272201,0.40483836288741765,-0.0030838358394645327,-0.003299361535742007,False,-0.007505196433601424,-0.0072126930609822115,UP,UP,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,24,0.3826333818726352,0.4027962612591132,-0.0052292802545849115,-0.002042101628304427,False,-0.006367238344093196,-0.004627397344643347,UP,UP,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,29,0.37473264290298436,0.40199963729099647,-0.007900738969650822,-0.0007966239681167497,False,-0.007133988656871981,-0.0027120106563800483,UP,FLAT,True,UP,KEEP,True,flat,keep
fixed_lr_9e-6,34,0.3759026604505338,0.4060057154761623,0.0011700175475494179,0.004006078185165851,False,-0.0029819855546612817,0.0006470337643929014,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,39,0.3708322718052232,0.401788755810236,-0.005070388645310564,-0.004216959665926334,False,-0.004026187099985923,-0.0017849629507666886,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,44,0.3696739329006712,0.4008392222088214,-0.0011583389045520254,-0.0009495336014145872,False,-0.0025922630022689463,-0.001367248276090638,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,49,0.3693373849594276,0.3986230092625411,-0.00033654794124360343,-0.002216212946280327,False,-0.0014644054717563026,-0.0017917306111854825,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,54,0.37243021169563356,0.3968802466660009,0.003092826736205978,-0.0017427625965401594,True,0.0008142106322248654,-0.0017672466038628487,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,59,0.3695422386816901,0.3953610428121148,-0.0028879730139434456,-0.0015192038538860975,False,-0.0010368811908593178,-0.0016432252288744453,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,64,0.3693157779135832,0.39296490974718434,-0.0002264607681068953,-0.0023961330649304724,False,-0.0006316709794831343,-0.002019679146902431,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,69,0.3698463721196247,0.3964074557823829,0.000530594206041457,0.003442546035198557,False,-5.05383867208109e-05,0.0007114334441480352,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,74,0.3679326638678834,0.39453371160469125,-0.001913708251741253,-0.0018737441776916497,False,-0.000982123319231032,-0.000581155366771835,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,79,0.3673747376840807,0.39310936980633787,-0.0005579261838027372,-0.001424341798353379,False,-0.0007700247515168845,-0.0010027485825625515,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,84,0.36724499485734774,0.3934729471934558,-0.00012974282673294812,0.0003635773871179526,True,-0.00044988378912491633,-0.0003195855977223272,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,89,0.36490518532568567,0.3927160964213006,-0.0023398095316620737,-0.0007568507721552042,False,-0.0013948466603934673,-0.0005382181849387657,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_9e-6,94,0.36464504670253606,0.3943337625061603,-0.00026013862314960834,0.0016176660848596924,True,-0.0008274926417715656,0.0005397239499604911,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_10p5e-6,4,0.41163419723731726,0.42852258360756346,-0.03319948102976006,-0.028182234176793552,False,-0.01659974051488,-0.014091117088396776,UP,UP,False,KEEP,KEEP,False,improving,keep
fixed_lr_10p5e-6,9,0.39888958552855547,0.413765424231368,-0.012744611708761788,-0.014757159376195483,False,-0.014672176111820923,-0.014424138232296102,UP,UP,False,UP,UP,False,flat,keep
fixed_lr_10p5e-6,14,0.38954477555815714,0.4077619620168289,-0.009344809970398327,-0.006003462214539068,False,-0.012008493041109625,-0.010213800223417613,UP,UP,False,KEEP,KEEP,False,flat,keep
fixed_lr_10p5e-6,19,0.387542232862723,0.40513855575476176,-0.0020025426954341508,-0.0026234062620671406,False,-0.00700551786827186,-0.0064186032427424045,UP,UP,False,KEEP,KEEP,False,flat,keep
fixed_lr_10p5e-6,24,0.37757010809696856,0.4041578258231944,-0.009972124765754431,-0.0009807299315673368,False,-0.008488821317013173,-0.003699666587154815,UP,FLAT,True,KEEP,KEEP,False,flat,keep
fixed_lr_10p5e-6,29,0.37649527969589536,0.4043510925332868,-0.0010748284010732023,0.00019326671009239904,True,-0.00478182485904316,-0.0017531999385312358,UP,FLAT,True,UP,KEEP,True,flat,keep
fixed_lr_10p5e-6,34,0.3696709883283687,0.4030239483997883,-0.006824291367526658,-0.0013271441334985479,False,-0.005803058113284965,-0.0015401720360149196,UP,FLAT,True,KEEP,KEEP,False,flat,keep
fixed_lr_10p5e-6,39,0.37347040219216865,0.401157044837176,0.0037994138637999497,-0.0018669035626122654,True,-0.0010018221247424797,-0.001703537799313537,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_10p5e-6,44,0.372006349307676,0.3982312794322792,-0.0014640528844926393,-0.0029257654048968074,False,-0.0012329375046175595,-0.0023146516021052,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_10p5e-6,49,0.37266289805318925,0.3954911668352186,0.0006565487455132413,-0.0027401125970605844,True,-0.00028819437955218685,-0.00252738209958292,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_10p5e-6,54,0.3699845415817019,0.3941168865673799,-0.002678356471487342,-0.0013742802678387012,False,-0.0014832754255197367,-0.001950831183710755,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_10p5e-6,59,0.3677064782240352,0.3941376876292489,-0.0022780633576667264,2.080106186896913e-05,True,-0.0018806693915932593,-0.0009650150609209485,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_10p5e-6,64,0.3678593477224862,0.3940749255866401,0.00015286949845100262,-6.276204260879936e-05,True,-0.0008638999465711006,-0.0005138885517648184,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_10p5e-6,69,0.3681008109530146,0.3944932090275856,0.000241463230528427,0.0004182834409455216,False,-0.0003112183580213368,-4.7802555409703906e-05,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_10p5e-6,74,0.3672974974221117,0.39403005508634403,-0.0008033135309029049,-0.0004631539412415786,False,-0.0005572659444620931,-0.0002554782483256135,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_10p5e-6,79,0.3663212098257522,0.39066297104406333,-0.0009762875963594819,-0.003367084042280699,False,-0.0007667767704108153,-0.0018112811453031563,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_10p5e-6,84,0.3651610418176948,0.39303954329213464,-0.001160168008057405,0.002376572248071307,True,-0.0009634723892341102,0.0002826455513840753,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_10p5e-6,89,0.3668298997054937,0.3942740590536824,0.001668857887798858,0.0012345157615477609,False,0.0003526927492824017,0.0007585806564658903,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_10p5e-6,94,0.36941958415765613,0.39427972216815066,0.002589684452162455,5.663114468257291e-06,False,0.001471188600722373,0.0003821218854671016,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_12e-6,4,0.410704769549336,0.42399894101097424,-0.034128908717741324,-0.03270587677338277,False,-0.017064454358870662,-0.016352938386691385,UP,UP,False,KEEP,KEEP,False,improving,keep
fixed_lr_12e-6,9,0.3915480879409158,0.409775254722869,-0.019156681608420212,-0.01422368628810522,False,-0.018110567983645465,-0.015288312337398302,UP,UP,False,UP,UP,False,flat,keep
fixed_lr_12e-6,14,0.38903667380978396,0.40600460865357946,-0.0025114141311318172,-0.0037706460692895627,False,-0.010310991057388641,-0.00952947920334396,UP,UP,False,KEEP,KEEP,False,flat,keep
fixed_lr_12e-6,19,0.3855230738567243,0.4055071463548384,-0.003513599953059665,-0.000497462298741036,False,-0.0069122955052240975,-0.00501347075104247,UP,UP,False,KEEP,KEEP,False,flat,keep
fixed_lr_12e-6,24,0.373336888335251,0.4025951113566431,-0.01218618552147327,-0.002912034998195312,False,-0.009549240513348711,-0.003962752874618891,UP,FLAT,True,KEEP,KEEP,False,flat,keep
fixed_lr_12e-6,29,0.3736404332371608,0.40165754582011676,0.000303544901909758,-0.0009375655365263524,True,-0.004622847805719477,-0.002450159205572622,UP,FLAT,True,UP,KEEP,True,flat,keep
fixed_lr_12e-6,34,0.3723738237863174,0.4010742957497892,-0.0012666094508433923,-0.0005832500703275567,False,-0.0029447286282814344,-0.0015167046379500615,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_12e-6,39,0.37024594023010643,0.3961938107745095,-0.0021278835562109633,-0.004880484975279709,False,-0.002536306092246199,-0.003198594806614885,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_12e-6,44,0.3704006704101961,0.39547757232905273,0.00015473018008965722,-0.0007162384454567627,True,-0.001190787956078243,-0.0019574166260358794,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_12e-6,49,0.3689083956927417,0.3946771701747852,-0.0014922747174543893,-0.000800402154267521,False,-0.001341531336766344,-0.0013789093901516725,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_12e-6,54,0.3680085339315193,0.39328454329261114,-0.0008998617612224202,-0.001392626882174064,False,-0.001120696548994382,-0.0013857681361628682,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_12e-6,59,0.3677164100148242,0.39263422630252315,-0.0002921239166950862,-0.0006503169900879957,False,-0.0007064102328447341,-0.001018042563125432,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_12e-6,64,0.366179541339,0.39356958424166555,-0.001536868675824199,0.0009353579391424005,True,-0.0011216394543344665,-4.134231199154348e-05,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_12e-6,69,0.366299673907121,0.39331382898266987,0.00012013256812098971,-0.0002557552589956824,True,-0.0005007534431067384,-0.0001485487854935852,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_12e-6,74,0.3646603311318098,0.3917043532114745,-0.0016393427753111922,-0.0016094757711953567,False,-0.0010700481092089653,-0.0008790122783444709,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
fixed_lr_12e-6,79,0.3657485129025186,0.3922149239938124,0.001088181770708796,0.0005105707823379046,False,9.066830749915322e-06,-0.00018422074800328314,FLAT,FLAT,False,KEEP,KEEP,False,flat,keep
